"state_code","postal_code","city","county_name","county_code","latitude","longitude","time_zone"
AK,"99501",Anchorage,Anchorage Municipality,"020",61.2116,-149.8761,America/Anchorage
AK,"99502",Anchorage,Anchorage Municipality,"020",61.1661,-149.96,America/Anchorage
AK,"99503",Anchorage,Anchorage Municipality,"020",61.19,-149.8938,America/Anchorage
AK,"99504",Anchorage,Anchorage Municipality,"020",61.2037,-149.7447,America/Anchorage
AK,"99505",Jber,Anchorage Municipality,"020",59.8666,-158.5996,America/Anchorage
AK,"99506",Jber,Anchorage Municipality,"020",59.8666,-158.5996,America/Anchorage
AK,"99507",Anchorage,Anchorage Municipality,"020",61.1535,-149.8289,America/Anchorage
AK,"99508",Anchorage,Anchorage Municipality,"020",61.206,-149.8101,America/Anchorage
AK,"99509",Anchorage,Anchorage Municipality,"020",61.2181,-149.9003,America/Anchorage
AK,"99510",Anchorage,Anchorage Municipality,"020",61.1446,-149.8784,America/Anchorage
AK,"99511",Anchorage,Anchorage Municipality,"020",61.0683,-149.8005,America/Anchorage
AK,"99513",Anchorage,Anchorage Municipality,"020",61.2149,-149.8862,America/Anchorage
AK,"99514",Anchorage,Anchorage Municipality,"020",61.2181,-149.9003,America/Anchorage
AK,"99515",Anchorage,Anchorage Municipality,"020",61.1194,-149.8974,America/Anchorage
AK,"99516",Anchorage,Anchorage Municipality,"020",61.1054,-149.78,America/Anchorage
AK,"99517",Anchorage,Anchorage Municipality,"020",61.1901,-149.9361,America/Anchorage
AK,"99518",Anchorage,Anchorage Municipality,"020",61.1549,-149.8866,America/Anchorage
AK,"99519",Anchorage,Anchorage Municipality,"020",61.1089,-149.4403,America/Anchorage
AK,"99520",Anchorage,Anchorage Municipality,"020",61.2181,-149.9003,America/Anchorage
AK,"99521",Anchorage,Anchorage Municipality,"020",61.2181,-149.9003,America/Anchorage
AK,"99522",Anchorage,Anchorage Municipality,"020",61.2181,-149.9003,America/Anchorage
AK,"99523",Anchorage,Anchorage Municipality,"020",61.2181,-149.9003,America/Anchorage
AK,"99524",Anchorage,Anchorage Municipality,"020",61.2181,-149.9003,America/Anchorage
AK,"99529",Anchorage,Anchorage Municipality,"020",61.1515,-149.9443,America/Anchorage
AK,"99530",Anchorage,Anchorage Municipality,"020",61.1515,-149.9443,America/Anchorage
AK,"99540",Indian,Anchorage Municipality,"020",61.1089,-149.4403,America/Anchorage
AK,"99545",Kongiganak,Bethel Census Area,"050",59.9599,-162.8919,America/Nome
AK,"99546",Adak,Aleutians West (CA),"016",51.874,-176.634,America/Adak
AK,"99547",Atka,Aleutians West (CA),"016",52.1961,-174.2006,America/Adak
AK,"99548",Chignik Lake,Lake and Peninsula,"164",56.2448,-158.7578,America/Anchorage
AK,"99549",Port Heiden,Lake and Peninsula,"164",56.9643,-158.5664,America/Anchorage
AK,"99550",Port Lions,Kodiak Island,"150",57.8675,-152.8822,America/Anchorage
AK,"99551",Akiachak,Bethel Census Area,"050",60.9094,-161.4314,America/Anchorage
AK,"99552",Akiak,Bethel Census Area,"050",60.9122,-161.2139,America/Anchorage
AK,"99553",Akutan,Aleutians East,"013",54.143,-165.7854,America/Nome
AK,"99554",Alakanuk,Kusilvak,"158",62.6944,-164.6475,America/Nome
AK,"99555",Aleknagik,Dillingham (CA),"070",59.2697,-158.6199,America/Anchorage
AK,"99556",Anchor Point,Kenai Peninsula,"122",59.8371,-151.7078,America/Anchorage
AK,"99557",Aniak,Bethel Census Area,"050",61.5783,-159.5222,America/Anchorage
AK,"99558",Anvik,Yukon-Koyukuk (CA),"290",62.6561,-160.2067,America/Anchorage
AK,"99559",Bethel,Bethel Census Area,"050",60.7922,-161.7558,America/Anchorage
AK,"99561",Chefornak,Bethel Census Area,"050",60.1537,-164.2103,America/Nome
AK,"99563",Chevak,Kusilvak,"158",61.529,-165.5905,America/Nome
AK,"99564",Chignik,Lake and Peninsula,"164",56.3016,-158.4157,America/Anchorage
AK,"99565",Chignik Lagoon,Lake and Peninsula,"164",58.2687,-156.6484,America/Anchorage
AK,"99566",Chitina,Valdez-Cordova (CA),"261",61.5156,-144.4396,America/Anchorage
AK,"99567",Chugiak,Anchorage Municipality,"020",61.4098,-149.4537,America/Anchorage
AK,"99568",Clam Gulch,Kenai Peninsula,"122",60.2311,-151.3936,America/Anchorage
AK,"99569",Clarks Point,Dillingham (CA),"070",58.8173,-158.5299,America/Anchorage
AK,"99571",Cold Bay,Aleutians East,"013",55.1858,-162.7211,America/Nome
AK,"99572",Cooper Landing,Kenai Peninsula,"122",60.4767,-149.8235,America/Anchorage
AK,"99573",Copper Center,Valdez-Cordova (CA),"261",61.977,-145.3297,America/Anchorage
AK,"99574",Cordova,Valdez-Cordova (CA),"261",60.5362,-145.7534,America/Anchorage
AK,"99575",Crooked Creek,Bethel Census Area,"050",61.8181,-158.0025,America/Anchorage
AK,"99576",Dillingham,Dillingham (CA),"070",59.0402,-158.5231,America/Anchorage
AK,"99577",Eagle River,Anchorage Municipality,"020",61.3114,-149.5085,America/Anchorage
AK,"99578",Eek,Bethel Census Area,"050",60.2151,-162.0323,America/Nome
AK,"99579",Egegik,Lake and Peninsula,"164",58.2062,-157.3422,America/Anchorage
AK,"99580",Ekwok,Dillingham (CA),"070",59.3628,-157.4782,America/Anchorage
AK,"99581",Emmonak,Kusilvak,"158",62.7818,-164.5335,America/Nome
AK,"99583",False Pass,Aleutians East,"013",54.8542,-163.4113,America/Nome
AK,"99585",Marshall,Kusilvak,"158",61.9287,-162.268,America/Nome
AK,"99586",Gakona,Valdez-Cordova (CA),"261",62.3014,-145.3027,America/Anchorage
AK,"99587",Girdwood,Anchorage Municipality,"020",60.9577,-149.1406,America/Anchorage
AK,"99588",Glennallen,Valdez-Cordova (CA),"261",62.1039,-145.6617,America/Anchorage
AK,"99589",Goodnews Bay,Bethel Census Area,"050",59.1189,-161.5875,America/Anchorage
AK,"99590",Grayling,Yukon-Koyukuk (CA),"290",62.9036,-160.0647,America/Anchorage
AK,"99591",Saint George Island,Aleutians West (CA),"016",56.5944,-169.6186,America/Nome
AK,"99599",Anchorage,Anchorage Municipality,"020",61.1872,-149.8804,America/Anchorage
AK,"99602",Holy Cross,Yukon-Koyukuk (CA),"290",62.1926,-159.8251,America/Anchorage
AK,"99603",Homer,Kenai Peninsula,"122",59.5374,-151.2356,America/Anchorage
AK,"99604",Hooper Bay,Kusilvak,"158",61.527,-166.1151,America/Nome
AK,"99605",Hope,Kenai Peninsula,"122",60.8726,-149.4683,America/Anchorage
AK,"99606",Iliamna,Lake and Peninsula,"164",59.7525,-154.8236,America/Anchorage
AK,"99607",Kalskag,Bethel Census Area,"050",61.541,-160.3261,America/Anchorage
AK,"99608",Karluk,Kodiak Island,"150",57.5689,-154.4551,America/Anchorage
AK,"99609",Kasigluk,Bethel Census Area,"050",60.8956,-162.5181,America/Nome
AK,"99610",Kasilof,Kenai Peninsula,"122",60.3164,-151.2896,America/Anchorage
AK,"99611",Kenai,Kenai Peninsula,"122",60.6145,-151.2546,America/Anchorage
AK,"99612",King Cove,Aleutians East,"013",55.0628,-162.3056,America/Nome
AK,"99613",King Salmon,Bristol Bay,"060",58.6883,-156.6614,America/Anchorage
AK,"99614",Kipnuk,Bethel Census Area,"050",59.9232,-164.101,America/Nome
AK,"99615",Kodiak,Kodiak Island,"150",57.6036,-153.3751,America/Anchorage
AK,"99619",Kodiak,Kodiak Island,"150",57.79,-152.4072,America/Anchorage
AK,"99620",Kotlik,Kusilvak,"158",63.0295,-163.5542,America/Nome
AK,"99621",Kwethluk,Bethel Census Area,"050",60.8122,-161.4358,America/Anchorage
AK,"99622",Kwigillingok,Bethel Census Area,"050",59.8644,-163.1342,America/Nome
AK,"99623",Wasilla,Matanuska-Susitna Borough,"170",61.5463,-149.5901,America/Anchorage
AK,"99624",Larsen Bay,Kodiak Island,"150",57.54,-153.9786,America/Anchorage
AK,"99625",Levelock,Lake and Peninsula,"164",59.2905,-156.6503,America/Anchorage
AK,"99626",Lower Kalskag,Bethel Census Area,"050",61.5138,-160.36,America/Anchorage
AK,"99627",Mc Grath,Yukon-Koyukuk (CA),"290",62.9457,-155.5712,America/Anchorage
AK,"99628",Manokotak,Dillingham (CA),"070",59.0096,-158.9897,America/Anchorage
AK,"99629",Wasilla,Matanuska-Susitna Borough,"170",61.5841,-149.4436,America/Anchorage
AK,"99630",Mekoryuk,Bethel Census Area,"050",60.3657,-166.2836,America/Nome
AK,"99631",Moose Pass,Kenai Peninsula,"122",60.6148,-149.4056,America/Anchorage
AK,"99632",Mountain Village,Kusilvak,"158",62.1123,-163.6644,America/Nome
AK,"99633",Naknek,Bristol Bay,"060",58.783,-156.8992,America/Anchorage
AK,"99634",Napakiak,Bethel Census Area,"050",60.6967,-161.9519,America/Anchorage
AK,"99635",Nikiski,Kenai Peninsula,"122",60.7007,-151.2766,America/Anchorage
AK,"99636",New Stuyahok,Dillingham (CA),"070",59.4882,-157.2905,America/Anchorage
AK,"99637",Toksook Bay,Bethel Census Area,"050",60.5338,-165.1037,America/Nome
AK,"99638",Nikolski,Aleutians West (CA),"016",52.9381,-168.8678,America/Nome
AK,"99639",Ninilchik,Kenai Peninsula,"122",60.0108,-151.6396,America/Anchorage
AK,"99640",Nondalton,Lake and Peninsula,"164",59.9736,-154.8458,America/Anchorage
AK,"99641",Nunapitchuk,Bethel Census Area,"050",60.8969,-162.4594,America/Nome
AK,"99643",Old Harbor,Kodiak Island,"150",57.2028,-153.3039,America/Anchorage
AK,"99644",Ouzinkie,Kodiak Island,"150",57.9236,-152.5022,America/Anchorage
AK,"99645",Palmer,Matanuska-Susitna Borough,"170",61.6303,-148.9872,America/Anchorage
AK,"99647",Pedro Bay,Lake and Peninsula,"164",59.8681,-154.0757,America/Anchorage
AK,"99648",Perryville,Lake and Peninsula,"164",55.9453,-159.2593,America/Anchorage
AK,"99649",Pilot Point,Lake and Peninsula,"164",57.5642,-157.5792,America/Anchorage
AK,"99650",Pilot Station,Kusilvak,"158",61.9462,-162.8747,America/Nome
AK,"99651",Platinum,Bethel Census Area,"050",59.0131,-161.8164,America/Anchorage
AK,"99652",Big Lake,Matanuska-Susitna Borough,"170",61.5214,-149.9544,America/Anchorage
AK,"99653",Port Alsworth,Lake and Peninsula,"164",60.2025,-154.3128,America/Anchorage
AK,"99654",Wasilla,Matanuska-Susitna Borough,"170",61.5923,-149.3959,America/Anchorage
AK,"99655",Quinhagak,Bethel Census Area,"050",59.7381,-161.8749,America/Anchorage
AK,"99656",Red Devil,Bethel Census Area,"050",61.7611,-157.3125,America/Anchorage
AK,"99657",Russian Mission,Kusilvak,"158",61.7744,-161.3939,America/Anchorage
AK,"99658",Saint Marys,Kusilvak,"158",62.1172,-163.2376,America/Nome
AK,"99659",Saint Michael,Nome (CA),"180",63.4776,-162.1091,America/Nome
AK,"99660",Saint Paul Island,Aleutians West (CA),"016",57.1842,-170.2764,America/Nome
AK,"99661",Sand Point,Aleutians East,"013",55.3192,-160.4914,America/Anchorage
AK,"99662",Scammon Bay,Kusilvak,"158",61.845,-165.5819,America/Nome
AK,"99663",Seldovia,Kenai Peninsula,"122",59.4495,-151.7009,America/Anchorage
AK,"99664",Seward,Kenai Peninsula,"122",60.1329,-149.3985,America/Anchorage
AK,"99665",Shageluk,Yukon-Koyukuk (CA),"290",62.6822,-159.5619,America/Anchorage
AK,"99666",Nunam Iqua,Kusilvak,"158",62.5309,-164.8496,America/Nome
AK,"99667",Skwentna,Matanuska-Susitna Borough,"170",61.9903,-151.3978,America/Anchorage
AK,"99668",Sleetmute,Bethel Census Area,"050",61.7025,-157.1697,America/Anchorage
AK,"99669",Soldotna,Kenai Peninsula,"122",60.4818,-151.1358,America/Anchorage
AK,"99670",South Naknek,Bristol Bay,"060",58.6639,-156.9756,America/Anchorage
AK,"99671",Stebbins,Nome (CA),"180",63.5222,-162.2881,America/Nome
AK,"99672",Sterling,Kenai Peninsula,"122",60.5136,-150.8532,America/Anchorage
AK,"99674",Sutton,Matanuska-Susitna Borough,"170",61.7327,-148.7837,America/Anchorage
AK,"99675",Takotna,Yukon-Koyukuk (CA),"290",62.9886,-156.0642,America/Anchorage
AK,"99676",Talkeetna,Matanuska-Susitna Borough,"170",62.2605,-150.1101,America/Anchorage
AK,"99677",Tatitlek,Valdez-Cordova (CA),"261",60.8906,-146.6703,America/Anchorage
AK,"99678",Togiak,Dillingham (CA),"070",59.0619,-160.3764,America/Anchorage
AK,"99679",Tuluksak,Bethel Census Area,"050",61.1088,-160.9389,America/Anchorage
AK,"99680",Tuntutuliak,Bethel Census Area,"050",60.3431,-162.6631,America/Nome
AK,"99681",Tununak,Bethel Census Area,"050",60.5856,-165.2558,America/Nome
AK,"99682",Tyonek,Kenai Peninsula,"122",61.0681,-151.1369,America/Anchorage
AK,"99683",Trapper Creek,Matanuska-Susitna Borough,"170",62.3167,-150.2314,America/Anchorage
AK,"99684",Unalakleet,Nome (CA),"180",63.8835,-160.7884,America/Anchorage
AK,"99685",Unalaska,Aleutians West (CA),"016",53.8871,-166.5199,America/Nome
AK,"99686",Valdez,Valdez-Cordova (CA),"261",61.101,-146.9,America/Anchorage
AK,"99687",Wasilla,Matanuska-Susitna Borough,"170",61.5313,-149.4784,America/Anchorage
AK,"99688",Willow,Matanuska-Susitna Borough,"170",61.8966,-150.0038,America/Anchorage
AK,"99689",Yakutat,Skagway-Hoonah-Angoon,"232",59.812,-139.5505,America/Yakutat
AK,"99690",Nightmute,Bethel Census Area,"050",60.4794,-164.7239,America/Nome
AK,"99691",Nikolai,Yukon-Koyukuk (CA),"290",63.0133,-154.375,America/Anchorage
AK,"99692",Dutch Harbor,Aleutians West (CA),"016",53.8898,-166.5422,America/Nome
AK,"99693",Whittier,Valdez-Cordova (CA),"261",60.7734,-148.6839,America/Anchorage
AK,"99694",Houston,Matanuska-Susitna Borough,"170",61.6303,-149.8181,America/Anchorage
AK,"99695",Anchorage,Anchorage Municipality,"020",61.1089,-149.4403,America/Anchorage
AK,"99697",Kodiak,Kodiak Island,"150",57.79,-152.4072,America/Anchorage
AK,"99701",Fairbanks,Fairbanks North Star,"090",64.8378,-147.7164,America/Anchorage
AK,"99702",Eielson Afb,Fairbanks North Star,"090",64.6735,-147.0805,America/Anchorage
AK,"99703",Fort Wainwright,Fairbanks North Star,"090",64.8283,-147.6557,America/Anchorage
AK,"99704",Clear,Denali,"068",64.2966,-149.1608,America/Anchorage
AK,"99705",North Pole,Fairbanks North Star,"090",64.7805,-147.3694,America/Anchorage
AK,"99706",Fairbanks,Fairbanks North Star,"090",64.8521,-147.9377,America/Anchorage
AK,"99707",Fairbanks,Fairbanks North Star,"090",64.8378,-147.7164,America/Anchorage
AK,"99708",Fairbanks,Fairbanks North Star,"090",64.9475,-147.8564,America/Anchorage
AK,"99709",Fairbanks,Fairbanks North Star,"090",64.8544,-147.8469,America/Anchorage
AK,"99710",Fairbanks,Fairbanks North Star,"090",64.8378,-147.7164,America/Anchorage
AK,"99711",Fairbanks,Fairbanks North Star,"090",64.8378,-147.7164,America/Anchorage
AK,"99712",Fairbanks,Fairbanks North Star,"090",64.9109,-147.5105,America/Anchorage
AK,"99714",Salcha,Fairbanks North Star,"090",64.5091,-146.953,America/Anchorage
AK,"99716",Two Rivers,Fairbanks North Star,"090",64.8746,-146.8982,America/Anchorage
AK,"99720",Allakaket,Yukon-Koyukuk (CA),"290",66.5656,-152.6456,America/Anchorage
AK,"99721",Anaktuvuk Pass,North Slope,"185",68.1433,-151.7358,America/Anchorage
AK,"99722",Arctic Village,Yukon-Koyukuk (CA),"290",68.1269,-145.5378,America/Anchorage
AK,"99723",Barrow,North Slope,"185",71.2346,-156.8174,America/Anchorage
AK,"99724",Beaver,Yukon-Koyukuk (CA),"290",66.3594,-147.3964,America/Anchorage
AK,"99725",Ester,Fairbanks North Star,"090",64.871,-148.0949,America/Anchorage
AK,"99726",Bettles Field,Yukon-Koyukuk (CA),"290",65.2264,-151.0251,America/Anchorage
AK,"99727",Buckland,Northwest Arctic,"188",65.9789,-161.1262,America/Anchorage
AK,"99729",Cantwell,Denali,"068",63.3955,-148.8973,America/Anchorage
AK,"99730",Central,Yukon-Koyukuk (CA),"290",65.4681,-144.7489,America/Anchorage
AK,"99731",Fort Greely,Southeast Fairbanks Census Area,"240",63.952,-146.451,America/Anchorage
AK,"99732",Chicken,Southeast Fairbanks Census Area,"240",64.0733,-141.9361,America/Anchorage
AK,"99733",Circle,Yukon-Koyukuk (CA),"290",65.8245,-144.0826,America/Anchorage
AK,"99734",Prudhoe Bay,North Slope,"185",70.2922,-148.6694,America/Anchorage
AK,"99736",Deering,Northwest Arctic,"188",66.0737,-162.714,America/Nome
AK,"99737",Delta Junction,Southeast Fairbanks Census Area,"240",64.0378,-145.7322,America/Anchorage
AK,"99738",Eagle,Southeast Fairbanks Census Area,"240",64.7881,-141.2,America/Anchorage
AK,"99739",Elim,Nome (CA),"180",64.6217,-162.2604,America/Nome
AK,"99740",Fort Yukon,Yukon-Koyukuk (CA),"290",66.5647,-145.2739,America/Anchorage
AK,"99741",Galena,Yukon-Koyukuk (CA),"290",64.7333,-156.9275,America/Anchorage
AK,"99742",Gambell,Nome (CA),"180",63.7766,-171.7017,America/Nome
AK,"99743",Healy,Denali,"068",63.9171,-149.0111,America/Anchorage
AK,"99744",Anderson,Denali,"068",64.3442,-149.1869,America/Anchorage
AK,"99745",Hughes,Yukon-Koyukuk (CA),"290",66.0382,-154.2644,America/Anchorage
AK,"99746",Huslia,Yukon-Koyukuk (CA),"290",65.6899,-156.292,America/Anchorage
AK,"99747",Kaktovik,North Slope,"185",70.1319,-143.6239,America/Anchorage
AK,"99748",Kaltag,Yukon-Koyukuk (CA),"290",64.3305,-158.7243,America/Anchorage
AK,"99749",Kiana,Northwest Arctic,"188",66.975,-160.4228,America/Anchorage
AK,"99750",Kivalina,Northwest Arctic,"188",67.7269,-164.5333,America/Nome
AK,"99751",Kobuk,Northwest Arctic,"188",66.9072,-156.8811,America/Anchorage
AK,"99752",Kotzebue,Northwest Arctic,"188",66.8985,-162.5981,America/Nome
AK,"99753",Koyuk,Nome (CA),"180",64.9319,-161.1569,America/Anchorage
AK,"99754",Koyukuk,Yukon-Koyukuk (CA),"290",64.8803,-157.7008,America/Anchorage
AK,"99755",Denali National Park,Denali,"068",63.5436,-149.9867,America/Anchorage
AK,"99756",Manley Hot Springs,Yukon-Koyukuk (CA),"290",65.0011,-150.6339,America/Anchorage
AK,"99757",Lake Minchumina,Yukon-Koyukuk (CA),"290",63.8828,-152.3122,America/Anchorage
AK,"99758",Minto,Yukon-Koyukuk (CA),"290",65.0584,-149.6912,America/Anchorage
AK,"99759",Point Lay,North Slope,"185",69.7439,-163.0084,America/Nome
AK,"99760",Nenana,Yukon-Koyukuk (CA),"290",64.5577,-149.0867,America/Anchorage
AK,"99761",Noatak,Northwest Arctic,"188",67.5711,-162.9653,America/Nome
AK,"99762",Nome,Nome (CA),"180",64.5011,-165.4064,America/Nome
AK,"99763",Noorvik,Northwest Arctic,"188",66.8364,-161.0441,America/Anchorage
AK,"99764",Northway,Southeast Fairbanks Census Area,"240",62.9617,-141.9372,America/Anchorage
AK,"99765",Nulato,Yukon-Koyukuk (CA),"290",64.7194,-158.1031,America/Anchorage
AK,"99766",Point Hope,North Slope,"185",68.3486,-166.7347,America/Nome
AK,"99767",Rampart,Yukon-Koyukuk (CA),"290",65.509,-150.1619,America/Anchorage
AK,"99768",Ruby,Yukon-Koyukuk (CA),"290",64.7201,-155.5039,America/Anchorage
AK,"99769",Savoonga,Nome (CA),"180",63.6797,-170.4709,America/Nome
AK,"99770",Selawik,Northwest Arctic,"188",66.6039,-160.0069,America/Anchorage
AK,"99771",Shaktoolik,Nome (CA),"180",64.3537,-161.1932,America/Anchorage
AK,"99772",Shishmaref,Nome (CA),"180",66.2306,-166.1373,America/Nome
AK,"99773",Shungnak,Northwest Arctic,"188",66.8881,-157.1364,America/Anchorage
AK,"99774",Stevens Village,Yukon-Koyukuk (CA),"290",66.0064,-149.0908,America/Anchorage
AK,"99775",Fairbanks,Fairbanks North Star,"090",64.8591,-147.8267,America/Anchorage
AK,"99776",Tanacross,Southeast Fairbanks Census Area,"240",63.3853,-143.3464,America/Anchorage
AK,"99777",Tanana,Yukon-Koyukuk (CA),"290",65.1719,-152.0789,America/Anchorage
AK,"99778",Teller,Nome (CA),"180",65.2402,-166.3833,America/Nome
AK,"99780",Tok,Southeast Fairbanks Census Area,"240",63.3367,-142.9856,America/Anchorage
AK,"99781",Venetie,Yukon-Koyukuk (CA),"290",67.0104,-146.4137,America/Anchorage
AK,"99782",Wainwright,North Slope,"185",70.6369,-160.0383,America/Anchorage
AK,"99783",Wales,Nome (CA),"180",65.6092,-168.0875,America/Nome
AK,"99784",White Mountain,Nome (CA),"180",64.6814,-163.4056,America/Nome
AK,"99785",Brevig Mission,Nome (CA),"180",65.3342,-166.4786,America/Nome
AK,"99786",Ambler,Northwest Arctic,"188",67.0861,-157.8514,America/Anchorage
AK,"99788",Chalkyitsik,Yukon-Koyukuk (CA),"290",66.6544,-143.7222,America/Anchorage
AK,"99789",Nuiqsut,North Slope,"185",70.1927,-150.9971,America/Anchorage
AK,"99790",Fairbanks,Fairbanks North Star,"090",64.8378,-147.7164,America/Anchorage
AK,"99791",Atqasuk,North Slope,"185",70.4947,-157.4411,America/Anchorage
AK,"99801",Juneau,Juneau City and Borough,"110",58.3628,-134.5294,America/Juneau
AK,"99802",Juneau,Juneau City and Borough,"110",58.3019,-134.4197,America/Juneau
AK,"99803",Juneau,Juneau City and Borough,"110",58.3019,-134.4197,America/Juneau
AK,"99811",Juneau,Juneau City and Borough,"110",58.3019,-134.4197,America/Juneau
AK,"99812",Juneau,Juneau City and Borough,"110",58.3271,-134.4742,America/Juneau
AK,"99820",Angoon,Skagway-Hoonah-Angoon,"232",57.5005,-134.586,America/Juneau
AK,"99821",Auke Bay,Juneau City and Borough,"110",58.4494,-134.7003,America/Juneau
AK,"99824",Douglas,Juneau City and Borough,"110",58.2756,-134.395,America/Juneau
AK,"99825",Elfin Cove,Skagway-Hoonah-Angoon,"232",58.1944,-136.3433,America/Juneau
AK,"99826",Gustavus,Skagway-Hoonah-Angoon,"232",58.4284,-135.7615,America/Juneau
AK,"99827",Haines,Haines,"100",59.2519,-135.542,America/Juneau
AK,"99829",Hoonah,Skagway-Hoonah-Angoon,"232",58.0977,-135.4316,America/Juneau
AK,"99830",Kake,Wrangell-Petersburg (C,"280",56.9736,-133.936,America/Sitka
AK,"99832",Pelican,Skagway-Hoonah-Angoon,"232",57.9608,-136.2275,America/Juneau
AK,"99833",Petersburg,Wrangell-Petersburg (C,"280",56.8271,-133.1607,America/Sitka
AK,"99835",Sitka,Sitka City and Borough,"220",57.0514,-135.3166,America/Sitka
AK,"99836",Port Alexander,Wrangell-Petersburg (C,"280",56.2497,-134.6444,America/Sitka
AK,"99840",Skagway,Skagway-Hoonah-Angoon,"232",59.4685,-135.3018,America/Juneau
AK,"99841",Tenakee Springs,Skagway-Hoonah-Angoon,"232",57.7808,-135.2189,America/Juneau
AK,"99850",Juneau,Juneau City and Borough,"110",58.3019,-134.4197,America/Juneau
AK,"99901",Ketchikan,Ketchikan Gateway,"130",55.372,-131.6832,America/Sitka
AK,"99903",Meyers Chuck,Prince of Wales-Hyder,"198",55.7408,-132.2564,America/Sitka
AK,"99918",Coffman Cove,Prince of Wales-Hyder,"198",55.9524,-132.7503,America/Sitka
AK,"99919",Thorne Bay,Prince of Wales-Hyder,"198",55.6609,-132.5138,America/Sitka
AK,"99921",Craig,Prince of Wales-Hyder,"198",55.4732,-133.1171,America/Sitka
AK,"99922",Hydaburg,Prince of Wales-Hyder,"198",55.2087,-132.8259,America/Sitka
AK,"99923",Hyder,Prince of Wales-Hyder,"198",55.9169,-130.0247,America/Sitka
AK,"99925",Klawock,Prince of Wales-Hyder,"198",55.5526,-133.0555,America/Sitka
AK,"99926",Metlakatla,Prince of Wales-Hyder,"198",55.1215,-131.579,America/Metlakatla
AK,"99927",Point Baker,Prince of Wales-Hyder,"198",56.3528,-133.6211,America/Sitka
AK,"99928",Ward Cove,Ketchikan Gateway,"130",55.3954,-131.6754,America/Sitka
AK,"99929",Wrangell,Wrangell-Petersburg (C,"280",56.4335,-132.3529,America/Sitka
AK,"99950",Ketchikan,Ketchikan Gateway,"130",55.3422,-131.6478,America/Sitka
AL,"35004",Moody,St. Clair,"115",33.6035,-86.4668,America/Chicago
AL,"35005",Adamsville,Jefferson,"073",33.5884,-86.9597,America/Chicago
AL,"35006",Adger,Jefferson,"073",33.4343,-87.1675,America/Chicago
AL,"35007",Alabaster,Shelby,"117",33.1934,-86.7944,America/Chicago
AL,"35010",Alexander City,Tallapoosa,"123",32.9164,-85.9368,America/Chicago
AL,"35011",Alexander City,Tallapoosa,"123",32.9902,-85.958,America/Chicago
AL,"35013",Allgood,Blount,"009",33.9222,-86.4493,America/Chicago
AL,"35014",Alpine,Talladega,"121",33.404,-86.2339,America/Chicago
AL,"35015",Alton,Jefferson,"073",33.5793,-86.6375,America/Chicago
AL,"35016",Arab,Marshall,"095",34.3283,-86.4896,America/Chicago
AL,"35019",Baileyton,Cullman,"043",34.2683,-86.6213,America/Chicago
AL,"35020",Bessemer,Jefferson,"073",33.409,-86.9475,America/Chicago
AL,"35021",Bessemer,Jefferson,"073",33.5446,-86.9292,America/Chicago
AL,"35022",Bessemer,Jefferson,"073",33.3224,-86.9657,America/Chicago
AL,"35023",Bessemer,Jefferson,"073",33.468,-87.0924,America/Chicago
AL,"35031",Blountsville,Blount,"009",34.0929,-86.5686,America/Chicago
AL,"35032",Bon Air,Talladega,"121",33.2649,-86.3364,America/Chicago
AL,"35033",Bremen,Cullman,"043",33.9737,-87.0043,America/Chicago
AL,"35034",Brent,Bibb,"007",32.9357,-87.2114,America/Chicago
AL,"35035",Brierfield,Bibb,"007",33.0427,-86.9517,America/Chicago
AL,"35036",Brookside,Jefferson,"073",33.6379,-86.9167,America/Chicago
AL,"35038",Burnwell,Walker,"127",33.7079,-87.0875,America/Chicago
AL,"35040",Calera,Shelby,"117",33.1098,-86.756,America/Chicago
AL,"35042",Centreville,Bibb,"007",32.9503,-87.1192,America/Chicago
AL,"35043",Chelsea,Shelby,"117",33.2982,-86.6563,America/Chicago
AL,"35044",Childersburg,Talladega,"121",33.2459,-86.3641,America/Chicago
AL,"35045",Clanton,Chilton,"021",32.8355,-86.6425,America/Chicago
AL,"35046",Clanton,Chilton,"021",32.9229,-86.545,America/Chicago
AL,"35048",Clay,Jefferson,"073",33.7026,-86.5997,America/Chicago
AL,"35049",Cleveland,Blount,"009",33.9778,-86.5598,America/Chicago
AL,"35051",Columbiana,Shelby,"117",33.177,-86.6161,America/Chicago
AL,"35052",Cook Springs,St. Clair,"115",33.5895,-86.3923,America/Chicago
AL,"35053",Crane Hill,Cullman,"043",34.0821,-87.0484,America/Chicago
AL,"35054",Cropwell,St. Clair,"115",33.5296,-86.3007,America/Chicago
AL,"35055",Cullman,Cullman,"043",34.1761,-86.8298,America/Chicago
AL,"35056",Cullman,Cullman,"043",34.1748,-86.8436,America/Chicago
AL,"35057",Cullman,Cullman,"043",34.0878,-86.9447,America/Chicago
AL,"35058",Cullman,Cullman,"043",34.2098,-86.752,America/Chicago
AL,"35060",Docena,Jefferson,"073",33.5589,-86.9294,America/Chicago
AL,"35061",Dolomite,Jefferson,"073",33.4654,-86.9564,America/Chicago
AL,"35062",Dora,Walker,"127",33.7357,-87.0546,America/Chicago
AL,"35063",Empire,Walker,"127",33.8256,-87.0161,America/Chicago
AL,"35064",Fairfield,Jefferson,"073",33.4735,-86.9183,America/Chicago
AL,"35068",Fultondale,Jefferson,"073",33.6017,-86.8265,America/Chicago
